Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2013-10-22,28.7154,6435.9994,0.0,0.0,31435.9994,0.0,2.0,31435.9994,-7.2609,28.9324,28.6475,28.0456,27.714,26.1019,0.2218,0.4382,0.7916,0.7547,1.615,7.3113,1.257439976,1.33887557466
2013-10-23,28.0645,6435.9994,0.0,0.0,31435.9994,0.0,0.0,31435.9994,-7.2571,28.5676,28.6512,28.1994,27.7749,26.1799,0.4479,0.4317,0.5866,0.7298,1.6138,7.2609,1.257439976,1.30852690769
2013-10-24,28.206,6434.4994,0.0,0.0,31434.4994,0.0,2.0,31434.4994,-4.533,28.3286,28.6135,28.2909,27.8282,26.2626,0.3423,0.4666,0.493,0.7198,1.6095,7.2571,1.257379976,1.31512444399
2013-10-25,27.5456,6434.4994,0.0,0.0,31434.4994,0.0,0.0,31434.4994,-5.134,27.9387,28.2909,28.2673,27.8537,26.3441,0.3477,0.5462,0.5247,0.6991,1.5678,4.533,1.257379976,1.28433283288
2013-10-28,26.5457,6432.9994,0.0,0.0,31432.9994,0.0,2.0,31432.9994,-2.3683,27.4324,27.8154,28.1371,27.8291,26.4001,0.8359,0.823,0.7525,0.7368,1.5224,5.134,1.257319976,1.23771179723
2013-10-29,27.2155,6431.4994,0.0,0.0,31431.4994,0.0,2.0,31431.4994,1.8151,27.1023,27.5155,28.0815,27.8084,26.466,0.5095,0.6726,0.8015,0.7485,1.4837,2.3683,1.257259976,1.2689416899
2013-10-30,26.8947,6431.4994,0.0,0.0,31431.4994,0.0,0.0,31431.4994,-0.9979,26.8853,27.2815,27.9664,27.756,26.524,0.335,0.6364,0.8854,0.7748,1.4413,-1.8151,1.257259976,1.25398416591
2013-10-31,26.8287,6429.9994,0.0,0.0,31429.9994,0.0,2.0,31429.9994,0.3473,26.9796,27.0061,27.8098,27.7107,26.5814,0.2069,0.3843,0.9382,0.8021,1.3934,0.9979,1.257199976,1.25090686983
2013-11-01,27.0174,6429.9994,0.0,0.0,31429.9994,0.0,0.0,31429.9994,0.6191,26.9136,26.9004,27.5956,27.6499,26.6342,0.0957,0.247,0.8347,0.8065,1.3576,-0.3473,1.257199976,1.25970513908
2013-11-04,27.5551,6429.9994,0.0,0.0,31429.9994,0.0,0.0,31429.9994,-0.1727,27.1337,27.1023,27.4589,27.6362,26.6934,0.3769,0.2928,0.6931,0.8056,1.3313,-0.6191,1.257199976,1.28477577702
2013-11-05,27.2532,6429.9994,0.0,0.0,31429.9994,0.0,0.0,31429.9994,-2.429,27.2752,27.1098,27.3126,27.6791,26.7451,0.2695,0.2969,0.5347,0.7574,1.3008,0.1727,1.257199976,1.27069947872
